Country,Land_use,Element,Unit,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,Country area,Area,1000 ha,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0
Afghanistan,Land area,Area,1000 ha,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0,65286.0
Afghanistan,Agriculture,Area,1000 ha,37700.0,37760.0,37810.0,37873.0,37875.0,37913.0,37979.0,37980.0,37996.0,38006.0,38036.0,38046.0,38048.0,38048.0,38048.0,38048.0,38050.0,38050.0,38049.0,38049.0,38053.0,38054.0,38054.0,38054.0,38054.0,38054.0,38045.0,38040.0,38040.0,38040.0,38030.0,38030.0,37934.0,37813.0,37753.0,37752.0,37790.0,37867.0,37753.0,37753.0,37753.0,37753.0,37910.0,37911.0,37910.0,37910.0,37910.0,37910.0,37910.0,37911.0,37910.0,37910.0,37910.0,37910.0,37910.0,37910.0,37910.0
Afghanistan,Agricultural land,Area,1000 ha,37700.0,37760.0,37810.0,37873.0,37875.0,37913.0,37979.0,37980.0,37996.0,38006.0,38036.0,38046.0,38048.0,38048.0,38048.0,38048.0,38050.0,38050.0,38049.0,38049.0,38053.0,38054.0,38054.0,38054.0,38054.0,38054.0,38045.0,38040.0,38040.0,38040.0,38030.0,38030.0,37934.0,37813.0,37753.0,37752.0,37790.0,37867.0,37753.0,37753.0,37753.0,37753.0,37910.0,37911.0,37910.0,37910.0,37910.0,37910.0,37910.0,37911.0,37910.0,37910.0,37910.0,37910.0,37910.0,37910.0,37910.0
Afghanistan,Cropland,Area,1000 ha,7700.0,7760.0,7810.0,7873.0,7875.0,7913.0,7979.0,7980.0,7996.0,8006.0,8036.0,8046.0,8048.0,8048.0,8048.0,8048.0,8050.0,8050.0,8049.0,8049.0,8053.0,8054.0,8054.0,8054.0,8054.0,8054.0,8045.0,8040.0,8040.0,8040.0,8030.0,8030.0,7934.0,7813.0,7753.0,7752.0,7790.0,7867.0,7753.0,7753.0,7753.0,7753.0,7910.0,7911.0,7910.0,7910.0,7910.0,7910.0,7910.0,7911.0,7910.0,7910.0,7910.0,7910.0,7910.0,7910.0,7910.0
Afghanistan,Arable land,Area,1000 ha,7650.0,7700.0,7750.0,7800.0,7800.0,7835.0,7844.0,7844.0,7860.0,7870.0,7900.0,7910.0,7910.0,7910.0,7910.0,7910.0,7910.0,7910.0,7910.0,7910.0,7910.0,7910.0,7910.0,7910.0,7910.0,7910.0,7910.0,7910.0,7910.0,7910.0,7910.0,7910.0,7824.0,7703.0,7653.0,7647.0,7685.0,7757.0,7653.0,7683.0,7683.0,7678.0,7772.0,7816.0,7805.0,7794.0,7794.0,7794.0,7793.0,7793.0,7791.0,7790.0,7785.0,7771.0,7765.0,7729.0,7699.0
Afghanistan,Land under temporary crops,Area,1000 ha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2502.0,2111.0,3761.0,2934.0,3385.0,3529.0,3531.0,3224.0,3469.0,3481.0,3081.0,3454.0,3491.0,3485.0,3355.0,3419.0,2872.0
Afghanistan,Land with temporary fallow,Area,1000 ha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5181.0,5567.0,4011.0,4882.0,4420.0,4265.0,4263.0,4570.0,4324.0,4312.0,4710.0,4336.0,4294.0,4286.0,4410.0,4310.0,4827.0
Afghanistan,Land under permanent crops,Area,1000 ha,50.0,60.0,60.0,73.0,75.0,78.0,135.0,136.0,136.0,136.0,136.0,136.0,138.0,138.0,138.0,138.0,140.0,140.0,139.0,139.0,143.0,144.0,144.0,144.0,144.0,144.0,135.0,130.0,130.0,130.0,120.0,120.0,110.0,110.0,100.0,105.0,105.0,110.0,100.0,70.0,70.0,75.0,138.0,95.0,105.0,116.0,116.0,116.0,117.0,118.0,119.0,120.0,125.0,139.0,145.0,181.0,211.0
Afghanistan,Land under perm. meadows and pastures,Area,1000 ha,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0,30000.0
